post_id,domain,expected,prediction,is_correct,score_ratio,raw_response,thinking
u8wrbw,askacademia_validation,B,B,True,17.6666666667,<answer>B</answer>,
u8wrbw,askacademia_validation,B,B,True,17.3333333333,<answer>B</answer>,
u8wrbw,askacademia_validation,B,B,True,7.3333333333,<answer>B</answer>,
u8wrbw,askacademia_validation,A,B,False,6.5,<answer>B</answer>,
u8wrbw,askacademia_validation,A,A,True,2.5,<answer>A</answer>,
u8wrbw,askacademia_validation,B,B,True,4.1666666667,<answer>B</answer>,
u8wrbw,askacademia_validation,A,A,True,3.5,<answer>A</answer>,
u8wrbw,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
u8wrbw,askacademia_validation,A,B,False,3.3333333333,<answer>B</answer>,
u8wrbw,askacademia_validation,B,B,True,2.5,<answer>B</answer>,
u8wrbw,askacademia_validation,B,B,True,2.1666666667,<answer>B</answer>,
awnegi,askacademia_validation,A,B,False,5.3888888889,<answer>B</answer>,
awnegi,askacademia_validation,A,B,False,13.8571428571,<answer>B</answer>,
awnegi,askacademia_validation,A,A,True,2.1538461538,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,3.1111111111,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,5.6,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,8.0,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,11.2,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,11.2,<answer>A</answer>,
awnegi,askacademia_validation,B,A,False,2.8333333333,<answer>A</answer>,
awnegi,askacademia_validation,A,B,False,5.1,<answer>B</answer>,
awnegi,askacademia_validation,A,B,False,7.2857142857,<answer>B</answer>,
awnegi,askacademia_validation,A,A,True,10.2,<answer>A</answer>,
awnegi,askacademia_validation,B,A,False,10.2,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,4.5714285714,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,6.4,<answer>A</answer>,
awnegi,askacademia_validation,B,A,False,2.6,<answer>A</answer>,
awnegi,askacademia_validation,B,A,False,3.7142857143,<answer>A</answer>,
awnegi,askacademia_validation,A,A,True,5.2,<answer>A</answer>,
awnegi,askacademia_validation,B,B,True,2.5714285714,<answer>B</answer>,
awnegi,askacademia_validation,A,A,True,2.1428571429,<answer>A</answer>,
awnegi,askacademia_validation,B,B,True,3.0,<answer>B</answer>,
awnegi,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
awnegi,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
awnegi,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
awnegi,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
awnegi,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
awnegi,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
cpqr69,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
wxpm1v,askacademia_validation,A,A,True,6.375,<answer>A</answer>,
wxpm1v,askacademia_validation,A,B,False,5.0,<answer>B</answer>,
wxpm1v,askacademia_validation,B,B,True,4.0,<answer>B</answer>,
wxpm1v,askacademia_validation,A,B,False,2.5,<answer>B</answer>,
daf4pp,askacademia_validation,B,B,True,6.5714285714,<answer>B</answer>,
daf4pp,askacademia_validation,B,B,True,5.0,<answer>B</answer>,
daf4pp,askacademia_validation,A,B,False,3.1,<answer>B</answer>,
daf4pp,askacademia_validation,B,B,True,2.6,<answer>B</answer>,
daf4pp,askacademia_validation,A,A,True,8.6666666667,<answer>A</answer>,
daf4pp,askacademia_validation,B,B,True,5.3333333333,<answer>B</answer>,
daf4pp,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
daf4pp,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
daf4pp,askacademia_validation,B,B,True,3.0,<answer>B</answer>,
daf4pp,askacademia_validation,A,A,True,2.5,<answer>A</answer>,
daf4pp,askacademia_validation,A,B,False,2.5,<answer>B</answer>,
daf4pp,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
daf4pp,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
kz6x73,askacademia_validation,B,B,True,6.75,<answer>B</answer>,
kz6x73,askacademia_validation,A,A,True,6.625,<answer>A</answer>,
kz6x73,askacademia_validation,B,B,True,3.0,<answer>B</answer>,
kz6x73,askacademia_validation,B,B,True,6.0,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,2.75,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,3.6666666667,<answer>B</answer>,
kz6x73,askacademia_validation,B,B,True,5.5,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,5.5,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,5.5,<answer>B</answer>,
kz6x73,askacademia_validation,B,B,True,2.3333333333,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,3.5,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,3.5,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,3.5,<answer>B</answer>,
kz6x73,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
kz6x73,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
kz6x73,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
o69fk7,askacademia_validation,B,B,True,6.0576923077,<answer>B</answer>,
o69fk7,askacademia_validation,B,B,True,2.0384615385,<answer>B</answer>,
o69fk7,askacademia_validation,B,A,False,2.7179487179,<answer>A</answer>,
o69fk7,askacademia_validation,B,B,True,4.6086956522,<answer>B</answer>,
o69fk7,askacademia_validation,A,A,True,5.3,<answer>A</answer>,
o69fk7,askacademia_validation,B,B,True,5.3,<answer>B</answer>,
o69fk7,askacademia_validation,B,B,True,3.25,<answer>B</answer>,
o69fk7,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
o69fk7,askacademia_validation,B,A,False,2.5,<answer>A</answer>,
o69fk7,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
o69fk7,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
md0lxg,askacademia_validation,B,B,True,3.3333333333,<answer>B</answer>,
md0lxg,askacademia_validation,B,B,True,5.0,<answer>B</answer>,
md0lxg,askacademia_validation,B,B,True,6.6666666667,<answer>B</answer>,
md0lxg,askacademia_validation,A,B,False,5.6666666667,<answer>B</answer>,
md0lxg,askacademia_validation,B,B,True,4.6666666667,<answer>B</answer>,
md0lxg,askacademia_validation,A,A,True,2.3333333333,<answer>A</answer>,
md0lxg,askacademia_validation,A,A,True,2.3333333333,<answer>A</answer>,
md0lxg,askacademia_validation,B,A,False,3.5,<answer>A</answer>,
md0lxg,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
md0lxg,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
md0lxg,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
md0lxg,askacademia_validation,A,A,True,3.0,<answer>A</answer>,
md0lxg,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
md0lxg,askacademia_validation,A,A,True,3.0,<answer>A</answer>,
md0lxg,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
md0lxg,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
md0lxg,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
md0lxg,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
md0lxg,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
md0lxg,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
capi0c,askacademia_validation,A,A,True,2.8518518519,<answer>A</answer>,
capi0c,askacademia_validation,A,B,False,2.2962962963,<answer>B</answer>,
capi0c,askacademia_validation,A,B,False,2.7692307692,<answer>B</answer>,
capi0c,askacademia_validation,A,A,True,3.6,<answer>A</answer>,
capi0c,askacademia_validation,A,B,False,2.6923076923,<answer>B</answer>,
capi0c,askacademia_validation,B,B,True,3.5,<answer>B</answer>,
capi0c,askacademia_validation,A,A,True,2.5,<answer>A</answer>,
capi0c,askacademia_validation,B,B,True,2.4,<answer>B</answer>,
capi0c,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
capi0c,askacademia_validation,B,A,False,2.25,<answer>A</answer>,
capi0c,askacademia_validation,A,B,False,2.5714285714,<answer>B</answer>,
capi0c,askacademia_validation,A,B,False,3.6,<answer>B</answer>,
capi0c,askacademia_validation,B,B,True,2.4,<answer>B</answer>,
n2d1d4,askacademia_validation,B,B,True,3.0769230769,<answer>B</answer>,
n2d1d4,askacademia_validation,B,B,True,3.0769230769,<answer>B</answer>,
n2d1d4,askacademia_validation,B,B,True,4.4444444444,<answer>B</answer>,
n2d1d4,askacademia_validation,A,A,True,2.1538461538,<answer>A</answer>,
ngzjio,askacademia_validation,A,B,False,3.1666666667,<answer>B</answer>,
ngzjio,askacademia_validation,B,B,True,3.8,<answer>B</answer>,
ngzjio,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
ngzjio,askacademia_validation,A,B,False,2.4,<answer>B</answer>,
ngzjio,askacademia_validation,B,B,True,2.2,<answer>B</answer>,
ngzjio,askacademia_validation,B,B,True,2.3333333333,<answer>B</answer>,
ngzjio,askacademia_validation,A,A,True,2.3333333333,<answer>A</answer>,
ngzjio,askacademia_validation,A,A,True,2.3333333333,<answer>A</answer>,
msv4b6,askacademia_validation,A,A,True,3.8571428571,<answer>A</answer>,
msv4b6,askacademia_validation,A,A,True,2.1780821918,<answer>A</answer>,
msv4b6,askacademia_validation,B,B,True,3.0,<answer>B</answer>,
msv4b6,askacademia_validation,A,A,True,3.1176470588,<answer>A</answer>,
msv4b6,askacademia_validation,A,A,True,3.7857142857,<answer>A</answer>,
msv4b6,askacademia_validation,B,B,True,4.96875,<answer>B</answer>,
msv4b6,askacademia_validation,B,B,True,5.6785714286,<answer>B</answer>,
msv4b6,askacademia_validation,B,B,True,12.2307692308,<answer>B</answer>,
msv4b6,askacademia_validation,A,A,True,2.9285714286,<answer>A</answer>,
msv4b6,askacademia_validation,A,A,True,4.0769230769,<answer>A</answer>,
msv4b6,askacademia_validation,B,B,True,2.3076923077,<answer>B</answer>,
lkneir,askacademia_validation,A,A,True,3.2,<answer>A</answer>,
lkneir,askacademia_validation,A,A,True,8.0,<answer>A</answer>,
lkneir,askacademia_validation,B,B,True,8.0,<answer>B</answer>,
lkneir,askacademia_validation,B,B,True,2.2,<answer>B</answer>,
lkneir,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
lkneir,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
lkneir,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
lkneir,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
lkneir,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
lkneir,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
lkneir,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
lkneir,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
lkneir,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
lkneir,askacademia_validation,A,A,True,2.0,<answer>A</answer>,
lkneir,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
lkneir,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
tt0nzc,askacademia_validation,A,B,False,2.7142857143,<answer>B</answer>,
tt0nzc,askacademia_validation,A,A,True,2.7142857143,<answer>A</answer>,
tt0nzc,askacademia_validation,B,B,True,2.375,<answer>B</answer>,
tt0nzc,askacademia_validation,A,B,False,2.7142857143,<answer>B</answer>,
tt0nzc,askacademia_validation,B,A,False,2.7142857143,<answer>A</answer>,
tt0nzc,askacademia_validation,A,B,False,3.8,<answer>B</answer>,
tt0nzc,askacademia_validation,A,A,True,2.1428571429,<answer>A</answer>,
tt0nzc,askacademia_validation,B,A,False,2.1428571429,<answer>A</answer>,
tt0nzc,askacademia_validation,A,B,False,2.1428571429,<answer>B</answer>,
tt0nzc,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
yyyvjk,askacademia_validation,B,A,False,2.1764705882,<answer>A</answer>,
yyyvjk,askacademia_validation,B,A,False,3.3636363636,<answer>A</answer>,
yyyvjk,askacademia_validation,A,B,False,4.625,<answer>B</answer>,
yyyvjk,askacademia_validation,B,B,True,7.4,<answer>B</answer>,
yyyvjk,askacademia_validation,B,B,True,12.3333333333,<answer>B</answer>,
yyyvjk,askacademia_validation,A,B,False,2.1818181818,<answer>B</answer>,
yyyvjk,askacademia_validation,B,A,False,3.0,<answer>A</answer>,
yyyvjk,askacademia_validation,B,B,True,2.125,<answer>B</answer>,
iq5r1y,askacademia_validation,B,B,True,14.5,<answer>B</answer>,
iq5r1y,askacademia_validation,B,B,True,4.5,<answer>B</answer>,
iq5r1y,askacademia_validation,A,A,True,6.75,<answer>A</answer>,
iq5r1y,askacademia_validation,A,B,False,3.1666666667,<answer>B</answer>,
iq5r1y,askacademia_validation,B,B,True,2.3333333333,<answer>B</answer>,
iq5r1y,askacademia_validation,A,B,False,3.5,<answer>B</answer>,
iq5r1y,askacademia_validation,B,B,True,2.8,<answer>B</answer>,
iq5r1y,askacademia_validation,A,B,False,4.6666666667,<answer>B</answer>,
iq5r1y,askacademia_validation,B,B,True,7.0,<answer>B</answer>,
iq5r1y,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
iq5r1y,askacademia_validation,A,B,False,3.0,<answer>B</answer>,
iq5r1y,askacademia_validation,B,A,False,3.0,<answer>A</answer>,
iq5r1y,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
iq5r1y,askacademia_validation,B,B,True,2.0,<answer>B</answer>,
iq5r1y,askacademia_validation,B,A,False,3.0,<answer>A</answer>,
iq5r1y,askacademia_validation,B,A,False,3.0,<answer>A</answer>,
iq5r1y,askacademia_validation,A,B,False,2.0,<answer>B</answer>,
iq5r1y,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
ffhr75,askacademia_validation,A,A,True,2.7142857143,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,3.5185185185,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,4.5238095238,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,47.5,<answer>B</answer>,
ffhr75,askacademia_validation,A,B,False,2.3428571429,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,3.037037037,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,3.9047619048,<answer>B</answer>,
ffhr75,askacademia_validation,B,B,True,13.6666666667,<answer>B</answer>,
ffhr75,askacademia_validation,B,B,True,41.0,<answer>B</answer>,
ffhr75,askacademia_validation,B,A,False,2.0,<answer>A</answer>,
ffhr75,askacademia_validation,A,A,True,2.5714285714,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,2.347826087,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,3.375,<answer>A</answer>,
ffhr75,askacademia_validation,A,B,False,9.0,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,27.0,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,13.5,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,10.5,<answer>A</answer>,
ffhr75,askacademia_validation,A,B,False,3.8333333333,<answer>B</answer>,
ffhr75,askacademia_validation,B,A,False,11.5,<answer>A</answer>,
ffhr75,askacademia_validation,B,A,False,3.1428571429,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,3.6666666667,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,11.0,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,11.0,<answer>B</answer>,
ffhr75,askacademia_validation,A,B,False,11.0,<answer>B</answer>,
ffhr75,askacademia_validation,B,A,False,2.6666666667,<answer>A</answer>,
ffhr75,askacademia_validation,B,A,False,8.0,<answer>A</answer>,
ffhr75,askacademia_validation,B,B,True,3.5,<answer>B</answer>,
ffhr75,askacademia_validation,A,A,True,3.5,<answer>A</answer>,
