chosen,rejected,score_chosen,score_rejected,is_correct
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Don't you just hate it when the guy sucking you off turns out to be gay,1.3906,1.875,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Why don't you ever see three mexicans crossing the border at the same time? Because the signs say ""No trespassing""",1.3906,-1.4688,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",How do you call a Jew teenager? Jewenile,1.3906,-2.7188,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","When a lady leaves an article of clothing at my place, I do the gentlemanly thing and put it on and parade around the house looking pretty.",1.3906,-5.4062,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",ME: How do you know Cassiopeia is God's favorite constellation? *The planetarium security tries to wrestle the mic away from me* ME: He gave it five stars FOLKS!!!!,1.3906,-1.5938,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",How did 1940's German Men pick up Jewish Girls With a broom and a dustpan,1.3906,-2.0312,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",police sketch artist: not you again me: it was real this time i promise police sketch artist: ok describe his face me: he had the eyes of a man who burgled ham police sketch artist: god damnit,1.3906,-3.9219,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","""Y dnt u Muslims tell ISIS to stop"" Ok hold up *pulls out iphone* ""Yo ISIS habibi,its me plz stop"" ISIS:""ok habibi sorry,shisha tonight?""",1.3906,-2.1094,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Why are most Muslims broke all the time? They never understood the concept of piggy banks.,1.3906,-2.3125,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I once took a girl to Starbucks because I forgot her name.,1.3906,-2.0781,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What's black and white and red all over and can't get through a revolving door? A nun with a spear through her head.,1.3906,-2.9062,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",I busted my nose earlier today... I suppose women can call the aftermath a hot mess.,1.3906,-3.2188,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",A black man is speeding down the motorway and he dies. How? He sticks his head out of the window and his lips beat him to death.,1.3906,-3.2812,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","My girlfriend told me that if I ever cheated on her, it would be worse if it was with a black girl. I told her she was wrong. It'd only be three-fifths as bad.",1.3906,-1.6484,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","ME: Being a scientist is just asking questions. So, in a way, we're all scientists. ACTUAL SCIENTIST: No. Becoming a scientist requires years of- ME: Looking up at the stars in wonderment. I hear you, respected peer.",1.3906,-2.2812,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What was the name of the pakistani hide and seek champion ? 'amhid',1.3906,-0.1367,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","In an effort to be sexier for my wife, I figured I'd pluck 60% of my chest hair... 3 of the 5.",1.3906,-1.375,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What do you call a Mexican dessert that won't sink? Flanboyant,1.3906,-2.6562,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Q: Which of the following doesn't belong: wife  meat eggs blow job? A: The blow job. You can beat your wife your eggs or your meat; but you just can't beat a blow job.,1.3906,-2.3906,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",Just watched the trailer to Onward ... it's a father- son story?! I'm not ready. Need to find a way to watch it but not in front of Vanessa cause I'm def gonna be crying. Maybe I should fake an allergy,1.3906,2.5625,False
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What do you call a black person on the moon? A problem What do you call all black people on the moon? A solution,1.3906,-1.1172,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Anyone remember the joke about the dwarf? Can't think right now, should be easy to remember, it was only a short one.",1.3906,-0.3125,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it","Before going to the hairdressers my wife asked me ""What cut do you think would make me more attractive"" ""A fucking power cut"".... was apparently was the wrong answer!",1.3906,-2.9062,True
"The tongue weighs practically nothing, but yet so few people are actually strong enough to hold it",What is a chinese homosexual videogamer called? Gay Ming,1.3906,0.832,True
