id,text,humor_rating,predicted_rating,raw_response
7236,Why do fish live in salt water? Because pepper makes them sneeze. corny,2.6,1.2,<rating>1.2</rating>
1361,Why are Jews so bad at maths? Cause they can never find the final solution,1.3,1.2,<rating>1.2</rating>
1248,I told my dad to embrace his mistakes. He cried. Then he hugged me and my brother.,3.39,1.2,<rating>1.2</rating>
392,My Christian friend told me he doesn't believe in gay marriage. He said there should be no such thing as a happy marriage.,2.39,1.2,<rating>1.2</rating>
7999,How to keep the flies off the bride at an Italian wedding Keep a bucket of shit next to her,1.0,1.2,<rating>1.2</rating>
6688,"I'm excited for today's L.A. Marathon, where people try to drive 26.2 miles in under four hours.",2.88,1.2,<rating>1.2</rating>
7233,"What's black, blue and doesn't look too well? Stevie Wonder",1.58,1.2,<rating>1.2</rating>
2625,[crashing at a friends house for the night] Friend: do you want the couch or the bed? Me: it doesn't matter... I can lay awake with anxiety anywhere,2.72,2.3,<rating>2.3</rating>
3693,"ME: I mean, you have super powers, we could go save those people right now. INTROVERTO: [wearing pajamas] But what if they think I'm weird?",2.63,1.2,<rating>1.2</rating>
4503,What is your favorite performance experience?Auntie Red Tweet Tea,0.82,0.0,<rating>0.0</rating>
1291,I like my puns like I like my sausages. The wurst ones are the best.,1.95,1.2,<rating>1.2</rating>
4766,How do you tell a male chromosome from a female chromosome? You pull down its genes!,3.0,1.0,<rating>1.0</rating>
5037,"Just got home from my first day of clock school and it did not go great. I asked the teacher if tocks were really any different than ticks. He called me an 'ill-bred sun-dialer' and the entire class burst out laughing. Father was right, these people will never accept me.",1.22,1.2,<rating>1.2</rating>
1676,I cannot believe that in this day and age that wearing underwear in the garden would offend so many people. Admittedly it wasn't my garden... or my underwear.,2.4,1.2,<rating>1.2</rating>
3036,"I started a new job. My boss said ""Hi, my name is Rebecca, but people call me Becky"". I said ""My name is Kyle, but people call me Dick"". She said ""how do you get Dick from Kyle?"" I replied ""you just ask nicely"".",3.05,1.2,<rating>1.2</rating>
