chosen,rejected,source
"How many Irishmen does it take to change a lightbulb?  Two, one to hold the lightbulb and the other to drink until the room spins.",What do you get when you run over a parakeet with a lawnmower?  Shredded tweet.,jester
"I asked my wife why she married me. She said ""Because you're really funny."" I said: ""I thought it was because I'm good in bed."" She said: ""See? You're hilarious.""",What do a viola and a lawsuit have in common? Everyone is happy when the case is closed.,haha
"""I left your tuxedo in your closet, Mr. Phoenix"" ""My what closet?"" *butler sighs, completely tired of living* ""Your Joaquin closet, sir""","If I could only pick one desert island record, I'd choose whichever album is most canoe-shaped.",haha
"I'm excited for today's L.A. Marathon, where people try to drive 26.2 miles in under four hours.","Success is 50% inspiration, 50% perspiration, and 50% THE SECRET PERCENTAGE INCREASER MACHINE.",haha
"A drunk staggers into a Catholic Church, enters a confessional booth, sits down, but says nothing. The Priest coughs a few times to get his attention but the drunk just sits there. Finally, the Priest pounds three times on the wall. The drunk mumbles, """"Ain't no use knockin, there's no paper on this side either.",America: 8:00 - Welcome to work! 12:00 - Lunch break 17:00 - The work day is over Japan: 8:00 - Are you already at work? 12:00 - Continue your work 17:00 - The work day is over 20:00 - Please finish your work Romania: 8:00 - Has anyone come to work? 12:00 - Did someone start working? 16:00 - Is anyone at work?,jester
"A radio conversation of a US naval  ship with Canadian authorities ...   Americans: Please divert your course 15 degrees to the North to avoid a collision.  Canadians: Recommend you divert YOUR course 15 degrees to the South to  avoid a collision.  Americans: This is the Captain of a US Navy ship.  I say again, divert  YOUR course.  Canadians: No.  I say again, you divert YOUR course.  Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship.  Canadians: This is a lighthouse.  Your call.","A couple has been married for 75 years. For the husband's 95th birthday, his wife decides to surprise him by hiring a prostitute. That day, the doorbell rings. The husband uses his walker to get to the door and opens it.  A 21-year-old in a latex outfit smiles and says, """"Hi, I here to give you super sex!""""  The old man says, """"I'll take the soup.",jester
My new girlfriend works at the Zoo. I think she is a keeper.,"A Down Syndrome walks into a bar. Barman says ""Why the mong face?""",haha
"An engineer dies and reports to the pearly gates. St. Peter checks his dossier and says, """"Ah, you're an engineer--you're in the wrong place."""" So, the engineer reports to the gates of hell and is let in. Pretty soon, the engineer gets dissatisfied with the level of comfort in hell, and starts designing and building improvements. After awhile, they've got air conditioning, flush toilets and escalators, and the engineer is a pretty popular guy. One day, God calls Satan up on the telephone and says with a sneer, """"So, how's it going down there in hell?"""" Satan replies, """"Hey, things are going great. We've got air conditioning, flush toilets and escalators, and there's no telling what this engineer is going to come up with next."""" God replies, """"What?? You've got an engineer? That's a mistake--he should never have gotten down there; send him up here."""" Satan says, """"No way."""" I like having an engineer on the staff, and I'm keeping him."""" God says, """"Send him back up here or I'll sue."""" Satan laughs uproariously and answers, """"Yeah, right. And just where are YOU going to get a lawyer?",Chuck Norris' calendar goes straight from March 31st to April 2nd; no one fools Chuck Norris.,jester
"When my three-year-old son opened the birthday gift from his grandmother, he discovered a water pistol. He squealed with delight and headed for the nearest sink. I was not so pleased. I turned to Mom and said, """"I'm surprised at you. Don't you remember how we used to drive you crazy with water guns?"""" Mom smiled and then replied...""""I remember.",Q: What do Monica Lewinsky and Bob Dole have in common? A: They were both upset when Bill finished first.,jester
"A guy goes into confession and says to the priest, """"Father, I'm 80 years old, widower, with 11 grandchildren. Last night I met two beautiful flight attendants. They took me home and I made love to both of them. Twice.""""  The priest said: """"Well, my son, when was the last time you were in confession?""""  """"Never Father, I'm Jewish.""""  """"So then, why are you telling me?""""  """"I'm telling everybody.","A man went to apply for a job. After filling out all of his applications, he waited anxiously for the outcome.The employer read all his applications and said, """"We have an opening for people like you."""" """"Oh, great,"""" he said. """"What is it?"""" """"It's called the door!",jester
What does garlic do when it gets hot? It takes its cloves off.,"What is 32% black, 45% white... ...gets lit up and changes to blue and red at night? Chicago.",haha
"Just a thought ..  Before criticizing someone, walk a mile in their shoes.    Then when you do criticize them,  you will be a mile away and have their shoes !",Q: Do you know the difference between an intelligent male and the Sasquatch?  A: There have been actual reported sightings of the Sasquatch.,jester
Don't try to understand women. Women understand women and they hate each other.,How many blind people does it take to change a light bulb? None if nobody's looking.,haha
"WHAT DO WE WANT? ""Hearing aids."" ""WHEN DO WE WANT THEM?"" ""Hearing aids.""",What do you call a gay avatar? A bender.,haha
"A man is driving in the country one evening when his car stalls and won't start. He goes up to a nearby farm house for help, and because it is suppertime he is asked to stay for supper. When he sits down at the table he notices that a pig is sitting at the table with them for supper and that the pig has a wooden leg. As they are eating and chatting, he eventually asks the farmer why the pig is there and why it has a wooden leg. """"Oh,"""" says the farmer, """"that is a very special pig. Last month my wife and daughter were in the barn when it caught fire. The pig saw this, ran to the barn, tipped over a pail of water, crawled over the wet floor to reach them and pulled them out of the barn safely. A special pig like that, you just don't eat it all at once!",Q: Do you know the difference between an intelligent male and the Sasquatch?  A: There have been actual reported sightings of the Sasquatch.,jester
"Sherlock Holmes and Dr. Watson go on a camping trip, set up their tent, and fall asleep. Some hours later, Holmes wakes his faithful friend. """"Watson, look up at the sky and tell me what you see."""" Watson replies, """"I see millions of stars."""" """"What does that tell you?"""" Watson ponders for a minute. """"Astronomically speaking, it tells me that there are millions of galaxies and potentially billions of planets. Astrologically, it tells me that Saturn is in Leo. Timewise, it appears to be approximately a quarter past three. Theologically, it's evident the Lord is all-powerful and we are small and insignificant. Meteorologically, it seems we will have a beautiful day tomorrow. What does it tell you?"""" Holmes is silent for a moment, then speaks. """"Watson, you idiot, someone has stolen our tent.",Q: What's the difference between a Lawyer and a Plumber?  A: A Plumber works to unclog the system.,jester
"An explorer in the deepest Amazon suddenly finds himself surrounded by a bloodthirsty group of natives. Upon surveying the situation, he says quietly to himself, """"Oh God, I'm screwed.""""   The sky darkens and a voice booms out, """"No, you are NOT screwed. Pick up that stone at your feet and bash in the head of the chief standing in front of you.""""   So with the stone he bashes the life out of the chief. Standing above the lifeless body, breathing heavily looking at 100 angry natives...   The voice booms out again, """"Okay ..... NOW you're screwed.","What does an atheist say during an orgasm? """"Oh Darwin! Oh Darwin!...",jester
"The graduate with a Science degree asks, """"Why does it work?"""" The graduate with an Engineering degree asks, """"How does it work?"""" The graduate with an Accounting degree Asks, """"How much will it cost?""""  The graduate with a  Liberal Arts degree asks, """"Do you want fries  with  that?",What is the rallying cry of the International Dyslexic Pride movement? Dyslexics Untie!,jester
"What are you going to do in the weekend? ""I'm going to buy glasses."" ""And then what?"" ""Then I'll see.""",What would you call a social media marketing genius? Masterbaiter ROFL,haha
Why was the anti-vaxxer's 4 year old child crying? Midlife crisis,I hate it when people make fun of the disabled. They can't even stand up for themselves. It's wheely not nice.,haha
"An American tourist goes into a restaurant in Spain and orders the specialty of the house. When his dinner arrives, he asks the waiter what it is. """"These, senor,"""" replied the waiter in broken English, """"are the testicles of the bull killed in the ring today."""" The tourist swallowed hard but tasted the dish and thought it was delicious. So he comes back the next evening and orders the same item. When it is served, he says to the waiter, """"These testicles...are much smaller than the ones I had last night."""" """"Yes, senor,"""" replied the waiter, """"You see...the bull, he does not always lose.",Q. What is orange and sounds like a parrot?    A. A carrot.,jester
