id,text,humor_rating,predicted_rating,raw_response
7122,"So my girlfriend just told me that she needed velocity... Well, her exact words were ""time and distance"" but I knew what she meant.",2.5,3.0,<rating>3</rating>
1984,When I found out my toaster wasn't waterproof.... I was shocked.,2.4,3.0,<rating>3</rating>
7251,I like when the shoe salesman puts the shoe on for me. I am 85% more likely to buy new shoes if I feel like Cinderella.,1.93,3.0,<rating>3</rating>
7002,"It is said that the Welsh were the first to use condoms, by making them out of sheep intestines. But the English perfected this technique by removing them from the sheep first.",2.8,3.0,<rating>3</rating>
242,What do u call a hilarious Mexican herb? Sillyantro,1.89,4.0,<rating>4</rating>
870,"What do you get when you have Tiger Woods, Stephen Hawking, and Dwayne Johnson in the same room? An Animal, a Vegetable, and a Mineral.",1.75,3.0,<rating>3</rating>
3617,Don't you just hate it when the guy sucking you off turns out to be gay,2.21,3.0,<rating>3</rating>
133,[bedroom] Wife: Do that thing I like Me: *puts on sleep apnea mask,2.53,3.0,<rating>3</rating>
1078,"Billions of locusts swarm through Africa. ""The sight was terrifying"" Said one of the locusts.",2.37,3.0,<rating>3</rating>
1555,What do transsexuals run on? Gender fluid.,1.95,3.0,<rating>3</rating>
2294,What do you call a lesbian Eskimo? A Klondike.,1.65,3.0,<rating>3</rating>
4771,Your mama so fat.. Her curve set everyone's grade to A+,1.7,3.0,<rating>3</rating>
7205,What happens if you don't pay your exorcist? You get repossessed.,2.95,3.0,<rating>3</rating>
4451,Guide for how to do joke Twitter correctly: 1) Write your funny idea 2) Rework it 3) Rework it again 4) Post it 5) Wait 10 seconds 6) Panic and second guess yourself 7) Delete it 8) Cry,2.2,3.0,<rating>3</rating>
226,Humans: we're not like snakes Also Humans: mmmm eggs,2.24,3.0,<rating>3</rating>
6969,"Somebody actually complimented me on my driving today. They left a note on the windshield. It said, ""Parking fine"", so that was nice.",3.11,3.0,<rating>3</rating>
1954,How do Jews fight? With JewJitsu,2.0,3.0,<rating>3</rating>
3618,What do you call an Asian penguin? A penguyen,1.65,3.0,<rating>3</rating>
5125,How many ants are needed to fill an apartment? Tenants,2.7,3.0,<rating>3</rating>
2505,I've been saying 'mucho' more when talking to my Hispanic friends. It means a lot to them.,1.94,3.0,<rating>3</rating>
5858,"A husband and wife see two people kissing. The wife says, ""He kisses her every time she comes home from work. Why can't you do that?"" The husband says, ""I would love to, but I don't know her well enough.""",3.05,3.0,<rating>3</rating>
2443,"My girlfriend is weird, she always starts conversations with, ""Are you even listening to me!""",3.0,3.0,<rating>3</rating>
7799,Looks like Dean has a nice alliance...or maybe not so nice. Haha. Crap,0.67,3.0,<rating>3</rating>
6972,HER: it's so romantic when the power goes out ME: listen if we don't eat all this ground beef we'll have to throw it out,2.28,3.0,<rating>3</rating>
1312,I bet some astronomers can't tell black holes apart because they're racists.,2.25,3.0,<rating>3</rating>
3923,"I'm a recovering alcoholic... And by that, I mean I'm hungover.",2.85,3.0,<rating>3</rating>
4286,Remember not to laugh at your ex wife's choices. You were one of them.,3.06,3.0,<rating>3</rating>
5223,I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,2.7,3.0,<rating>3</rating>
931,Q: How do you know if a blonde  has been sending e-mail? A: You see a bunch of envelopes stuffed into the disk drive.,2.1,3.0,<rating>3</rating>
7495,What kind of batteries do Canadians get the most excited about? AA,1.5,3.0,<rating>3</rating>
372,Which country has the fastest growing capitol? Ireland. It's Dublin every year,2.47,3.0,<rating>3</rating>
942,What do you call an overweight homosexual? Jigglypuff.,1.75,3.0,<rating>3</rating>
7409,"Why don't you ever see three mexicans crossing the border at the same time? Because the signs say ""No trespassing""",2.1,3.0,<rating>3</rating>
5995,"One comma makes all the difference when telling someone, 'Diet, Dr. Pepper'",1.32,3.0,<rating>3</rating>
1220,My wife used to get so fat that she had to go to the hospital; then a person would fall out of her. That doesn't sound normal.,2.32,3.0,<rating>3</rating>
5271,Tonight's supermoon will be the largest in 86 years. So don't forget to glance up and nod vaguely before moving on with your life. supermoon,1.68,3.0,<rating>3</rating>
1793,Just found out Empire Strikes Back was released 40 years ago today. And...I’m officially ancient.,1.57,3.0,<rating>3</rating>
5520,"A Mormon president would face the most difficult issue any president has. Deciding who's the First Lady, who's the Second Lady, and who's the Third Lady.",2.7,3.0,<rating>3</rating>
4265,What do you call rich Mexicans? The Juan percent.,2.45,3.0,<rating>3</rating>
3285,Yo mama's so stupid she can't pass a blood  test.,2.25,3.0,<rating>3</rating>
3006,*Removes belly button lint *weighs in a 2nd time,2.84,0.0,<rating>0</rating>
2250,"Farting in your sleep should never be held against you, even if it happened during a work meeting in the conference room.",2.7,3.0,<rating>3</rating>
672,"MY DAD: You'll take care of me when I get older, right? ME: [Thinking about when I was little and he used to scrub the shampoo into my hair too hard] We'll see.",2.58,3.0,<rating>3</rating>
6155,"What are you going to do in the weekend? ""I'm going to buy glasses."" ""And then what?"" ""Then I'll see.""",3.0,3.0,<rating>3</rating>
3329,Did you hear about the gay French baker? Faguette,2.55,3.0,<rating>3</rating>
446,Why did the scarecrow win a Nobel prize?.. Because he was outstanding in his field ROFL,2.85,3.0,<rating>3</rating>
6849,"My kid wanted to get a pet spider from the pet store, but they are really expensive. I can get a really cheap one off the web.",3.05,3.0,<rating>3</rating>
859,*spelling words to my wife so our child doesn't get scared* I heard on the news that the S-U-N is going to explode and kill us all tonight,2.93,3.0,<rating>3</rating>
4627,"The 2020 election results are in! Oh sorry, this is just for us Russians.",2.4,3.0,<rating>3</rating>
2532,I don't think the lady who just shushed a baby in the library knows how babies work,2.88,3.0,<rating>3</rating>
3366,Whats the difference between a cow and 9/11? Americans can't milk a cow for 14 years,1.9,3.0,<rating>3</rating>
7654,"A Down Syndrome walks into a bar. Barman says ""Why the mong face?""",1.0,3.0,<rating>3</rating>
385,"What's the difference between a police officer and a bullet? When a bullet kills someone else, you know it's been fired",2.35,3.0,<rating>3</rating>
5327,I told my wife she should embrace her mistakes... She gave me a hug.,3.35,3.0,<rating>3</rating>
5612,genie: what is your first wish me: i wish i could change anybody's name assbaby: what is your second wish,2.17,3.0,<rating>3</rating>
6920,"After my recent prostate exam, which, I must say, was the most thorough I've ever had, the doctor left and the nurse came in. As she shut the door, she asked me a question I didn't want to hear. She said... ""Who was that guy who just left?""",2.94,3.0,<rating>3</rating>
2591,"My wife likes it when I blow air on her when she's hot, but honestly...I'm not a fan.",2.55,3.0,<rating>3</rating>
4389,Why can't a nose be 12 inches? Because then it would be a foot.,2.8,3.0,<rating>3</rating>
7118,"My girl caught me blowing my dick with the air dryer, and asked what I was doing. Apparently, ""Heating your dinner"" wasn't a good answer.",2.45,3.0,<rating>3</rating>
4550,My mate sold me a guitar for ¬£5... No strings attached haha,2.1,3.0,<rating>3</rating>
916,"I don't envy mama birds for how they have to feed their babies, but the pushing them out of the nest part sounds fun.",2.58,3.0,<rating>3</rating>
6311,me: [robbing a bank] ok everybody hands in the air everyone: [puts hands up] me: [already mad with power] one hop this time,2.7,3.0,<rating>3</rating>
1672,How do Vikings send secret messages? Norse code.,2.79,3.0,<rating>3</rating>
2201,The main reason I've joined so many religious cults is because I have a hard time turning down a refreshing cup of Kool-Aid.,2.5,3.0,<rating>3</rating>
3452,"What is 32% black, 45% white... ...gets lit up and changes to blue and red at night? Chicago.",1.79,3.0,<rating>3</rating>
1139,"[Driving] My wife: Hey, you missed a right. Me: Thanks babe. You Mrs Right.",1.84,3.0,<rating>3</rating>
125,"So I heard ladies like bad boys. Lucky for them, I'm bad at everything",2.65,3.0,<rating>3</rating>
476,How did 1940's German Men pick up Jewish Girls With a broom and a dustpan,1.2,3.0,<rating>3</rating>
2193,"I promise you, if you came to one Mexican party... racism would end!",1.33,3.0,<rating>3</rating>
323,Welcome to your forties. Your eyebrows are now bushy enough you can see them without using a mirror.,2.06,3.0,<rating>3</rating>
7455,"Did you guys hear about the girl that had three vaginas? She kept getting fucked left, right and centre.",1.8,3.0,<rating>3</rating>
4988,Statistics show that vegetarians live on average ten years longer than meat eaters. Ten long miserable years.,3.0,3.0,<rating>3</rating>
7037,The hot blonde walked up to the bartender and asked for a double entendre... The bartender gave it to her.,1.1,3.0,<rating>3</rating>
7548,"""Y dnt u Muslims tell ISIS to stop"" Ok hold up *pulls out iphone* ""Yo ISIS habibi,its me plz stop"" ISIS:""ok habibi sorry,shisha tonight?""",1.11,3.0,<rating>3</rating>
1182,"Being the funniest person on Facebook is like being the fastest runner at the paralympics. You win, but you're still retarded.",2.2,3.0,<rating>3</rating>
5842,"So, you don't trust a doctor to stitch you up? Fine. Suture self.",3.32,3.0,<rating>3</rating>
2240,What did the drunker muslim say to the drunk muslim? I'm Mohammad than you,2.1,3.0,<rating>3</rating>
4060,What do you call a superhero with a bad sense of direction? Wander woman.,1.95,3.0,<rating>3</rating>
852,I deleted all the German contacts out of my phone... now its Hans free,2.55,3.0,<rating>3</rating>
14,"When you march the streets shouting with people it's civil disobedience, but do it drunk by yourself and it's an involuntary 72-hour hold",2.16,3.0,<rating>3</rating>
2211,I once took a girl to Starbucks because I forgot her name.,2.11,3.0,<rating>3</rating>
3114,I go to the doctor and he asks for a stool sample. I pull out a small chair from my bag. The doctor yells at me for wasting his time and kicks me out of his office. I go home still not knowing why I'm shitting furniture. My nightmare continues.,3.25,3.0,<rating>3</rating>
6495,How does a black woman fight crime? By having an abortion,1.58,3.0,<rating>3</rating>
5185,"Wife: [watching the news] oh God, did you see Petsmart got robbed?! Me: [loud barks coming from all 19 pockets of my parachute pants] nope",2.3,4.0,<rating>4</rating>
2026,columbus: is this india native american: you're india wrong place lol columbus: haha native american: for real tho,2.11,3.0,<rating>3</rating>
4075,"I like how we say ""vegan"" now instead of ""eating disorder"".",1.53,3.0,<rating>3</rating>
7180,Apparently they're making a remake of the Never Ending Story. It starts with a Man asking a Woman how her day was...,2.17,3.0,<rating>3</rating>
1010,Pro-tip: do not go Christmas caroling in a Stand Your Ground state.,1.47,3.0,<rating>3</rating>
6520,"""I'm arresting you for carrying a knife"" said the Police officer. 'Is it 'cos I is black?"" I replied ""No"" replied the Policeman ""what makes you think that?"" ""Cos I'm in ma own kitchen and I've just taken it out of the dishwasher""",1.7,3.0,<rating>3</rating>
38,Anybody that eats Tide pods is an idiot. They could go to Costco and get the generic brand for half the price.,2.95,3.0,<rating>3</rating>
3292,What's the difference between a politician and a flying pig? The letter F.,2.9,3.0,<rating>3</rating>
7243,I was sacked from the ice cream factory today. It was because I'll only work on two sundaes a month.,3.16,3.0,<rating>3</rating>
4577,"God: ""At least I didn't get FAT."" Buddha: ""At least I didn't get CRUCIFIED.""",2.8,3.0,<rating>3</rating>
2747,"I ran out of cereal today, so instead I poured milk on a bowl of bbq chips. It wasnt good, but I ate it anyway because breakfast is important",1.94,3.0,<rating>3</rating>
2697,I'd like to invent a line of cleaning products that does a good job and also sounds satanic. -the inventor of dirt devil,2.26,3.0,<rating>3</rating>
2958,"Having kids takes up most of a parent's energy. But no matter how exhausted my wife and I are, we always make sure to set some time aside to get together and argue about who is more tired.",2.76,3.0,<rating>3</rating>
1168,My 6 yr old just asked if I'm a happy wife.. her cover is blown I think she might be working for the other side,2.05,4.0,<rating>4</rating>
7058,I fucked an arthritic woman yesterday. What a cracker.,1.85,3.0,<rating>3</rating>
3753,LION TAMER: I'm a lion tamer. LION: For now.,2.44,3.0,<rating>3</rating>
7399,Why do golf announcers whisper? Because they don't want to wake up the people watching.,2.55,3.0,<rating>3</rating>
