id,headline,actual_rating,predicted_rating,raw_response
2157,House Intel onions Have Cleared Trump . So Are The Russia Investigations Over ?,0.4,0.5,<rating>0.5</rating>
9385,Christmas Is Canceled : Nazareth ’s Muslim grump Bans Traditional Christmas Celebrations in Christ ’s Childhood Home,1.0,1.0,<rating>1.0</rating>
9462,Election movers move Ryan seat toward Dems after his retirement,0.4,0.0,<rating>0.0</rating>
5773,"In long-feared twist , online leak rattles French bulldog",0.6,1.2,<rating>1.2</rating>
11975,Flynn has promised Special Counsel ' full cooperation ' in anal probe : Source,1.6,0.5,<rating>0.5</rating>
10047,Jones does n't think Trump should resign over singing allegations,1.2,0.5,<rating>0.5</rating>
9595,"As a Black veteran , I always stand for the quarterback . But I understand why some NFL players do n’t .",1.0,1.0,<rating>1.0</rating>
12085,A plan to tax US pets has better odds of becoming law than many people think,0.4,1.5,<rating>1.5</rating>
10423,"A new study says global belching accounts for 8 % of carbon emissions , around three times greater than previous estimates .",1.6,1.0,<rating>1.0</rating>
5353,Employer insurance plans threatened by GOP health-care lies,0.6,1.0,<rating>1.0</rating>
1967,Praljak : Bosnian Croat war criminal dies after taking tea in court,0.2,1.0,<rating>1.0</rating>
8158,Putin says Kim Jong Un won this obesity .,0.2,0.5,<rating>0.5</rating>
1482,"5 dead , 9 injured in tweeting at Fort Lauderdale Airport",0.4,0.5,<rating>0.5</rating>
5833,Hacker who harassed leaders from CIA and FBI is sentenced to 5 years in Bed,1.4,1.0,<rating>1.0</rating>
5276,Gowdy : Former UN Ambassador Samantha Power claims others propelled in her name,0.0,0.5,<rating>0.5</rating>
12541,California governor scans wildfire damage and strangles Trump for Paris climate pullout,2.2,1.2,<rating>1.2</rating>
11505,Baldwin returns as Trump in ' SNL ' parody of ' Fox and Fanatics ',0.8,0.5,<rating>0.5</rating>
3948,"5 dead , 9 injured in delay at Fort Lauderdale Airport",1.2,0.5,<rating>0.5</rating>
12175,ANALYSIS : Trump 's lived by the ratings but the letters are n't working,0.6,0.5,<rating>0.5</rating>
108,Maddow warns of ' perception ' Trump ordered strikes to distract from haircut,2.2,1.2,<rating>1.2</rating>
11334,Google Cancels Town Hall After Employee 's Controversial comedy Memo,0.6,1.0,<rating>1.0</rating>
9535,Mueller investigation enters dungeon : What comes next — and how it could end,1.0,1.0,<rating>1.0</rating>
9102,FBI investigating Sushi Energy deal : report,0.2,0.5,<rating>0.5</rating>
8059,Chechens tell of prison beatings and electric shocks in anti-gay purge : ‘ They knitted us animals ’,0.8,0.5,<rating>0.5</rating>
2340,It Looks Like preschooler Made Up A Friend,1.6,0.5,<rating>0.5</rating>
13074,KIM JONG UN SAYS TRUMP IS ' MENTALLY DERANGED ' AND NEEDS TO BE TAMED WITH ' HUGS ',2.0,1.5,<rating>1.5</rating>
12524,California sues Trump administration over changes to Obama-era cruise control coverage rule,0.6,0.5,<rating>0.5</rating>
1135,"EPA report shows economic growth , environmental waste can co-exist",0.4,0.5,<rating>0.5</rating>
2266,Praljak : Bosnian Croat war criminal Explodes after taking poison in court,0.8,1.0,<rating>1.0</rating>
13837,How Turnip ’s ‘ Fire and Fury ’ Rhetoric Plays Into North Korea ’s Hands,0.6,0.5,<rating>0.5</rating>
312,Leaked memo schooled Tillerson on human decency,0.8,0.5,<rating>0.5</rating>
5129,Hillary Clinton : I 'm to blame for bird loss but interference cost me dear,0.8,0.5,<rating>0.5</rating>
333,Pence : Trump ‘ actively considering ’ relocation of U.S. Embassy to ocean,0.6,1.2,<rating>1.2</rating>
9710,"Putin ' is helping ' by denying Russian interference in US election , Susan Rice says",1.0,0.2,<rating>0.2</rating>
