id,text,humor_rating
7122,"So my girlfriend just told me that she needed velocity... Well, her exact words were ""time and distance"" but I knew what she meant.",2.5
1984,When I found out my toaster wasn't waterproof.... I was shocked.,2.4
7251,I like when the shoe salesman puts the shoe on for me. I am 85% more likely to buy new shoes if I feel like Cinderella.,1.93
7002,"It is said that the Welsh were the first to use condoms, by making them out of sheep intestines. But the English perfected this technique by removing them from the sheep first.",2.8
242,What do u call a hilarious Mexican herb? Sillyantro,1.89
870,"What do you get when you have Tiger Woods, Stephen Hawking, and Dwayne Johnson in the same room? An Animal, a Vegetable, and a Mineral.",1.75
3617,Don't you just hate it when the guy sucking you off turns out to be gay,2.21
133,[bedroom] Wife: Do that thing I like Me: *puts on sleep apnea mask,2.53
1078,"Billions of locusts swarm through Africa. ""The sight was terrifying"" Said one of the locusts.",2.37
1555,What do transsexuals run on? Gender fluid.,1.95
2294,What do you call a lesbian Eskimo? A Klondike.,1.65
4771,Your mama so fat.. Her curve set everyone's grade to A+,1.7
7205,What happens if you don't pay your exorcist? You get repossessed.,2.95
4451,Guide for how to do joke Twitter correctly: 1) Write your funny idea 2) Rework it 3) Rework it again 4) Post it 5) Wait 10 seconds 6) Panic and second guess yourself 7) Delete it 8) Cry,2.2
226,Humans: we're not like snakes Also Humans: mmmm eggs,2.24
6969,"Somebody actually complimented me on my driving today. They left a note on the windshield. It said, ""Parking fine"", so that was nice.",3.11
1954,How do Jews fight? With JewJitsu,2.0
3618,What do you call an Asian penguin? A penguyen,1.65
5125,How many ants are needed to fill an apartment? Tenants,2.7
2505,I've been saying 'mucho' more when talking to my Hispanic friends. It means a lot to them.,1.94
5858,"A husband and wife see two people kissing. The wife says, ""He kisses her every time she comes home from work. Why can't you do that?"" The husband says, ""I would love to, but I don't know her well enough.""",3.05
2443,"My girlfriend is weird, she always starts conversations with, ""Are you even listening to me!""",3.0
7799,Looks like Dean has a nice alliance...or maybe not so nice. Haha. Crap,0.67
6972,HER: it's so romantic when the power goes out ME: listen if we don't eat all this ground beef we'll have to throw it out,2.28
1312,I bet some astronomers can't tell black holes apart because they're racists.,2.25
3923,"I'm a recovering alcoholic... And by that, I mean I'm hungover.",2.85
4286,Remember not to laugh at your ex wife's choices. You were one of them.,3.06
5223,I told my wife that a husband ages like wine. We get better with age. Then she locked me in the cellar.,2.7
931,Q: How do you know if a blonde  has been sending e-mail? A: You see a bunch of envelopes stuffed into the disk drive.,2.1
7495,What kind of batteries do Canadians get the most excited about? AA,1.5
372,Which country has the fastest growing capitol? Ireland. It's Dublin every year,2.47
942,What do you call an overweight homosexual? Jigglypuff.,1.75
7409,"Why don't you ever see three mexicans crossing the border at the same time? Because the signs say ""No trespassing""",2.1
5995,"One comma makes all the difference when telling someone, 'Diet, Dr. Pepper'",1.32
1220,My wife used to get so fat that she had to go to the hospital; then a person would fall out of her. That doesn't sound normal.,2.32
5271,Tonight's supermoon will be the largest in 86 years. So don't forget to glance up and nod vaguely before moving on with your life. supermoon,1.68
1793,Just found out Empire Strikes Back was released 40 years ago today. And...I’m officially ancient.,1.57
5520,"A Mormon president would face the most difficult issue any president has. Deciding who's the First Lady, who's the Second Lady, and who's the Third Lady.",2.7
4265,What do you call rich Mexicans? The Juan percent.,2.45
3285,Yo mama's so stupid she can't pass a blood  test.,2.25
3006,*Removes belly button lint *weighs in a 2nd time,2.84
2250,"Farting in your sleep should never be held against you, even if it happened during a work meeting in the conference room.",2.7
672,"MY DAD: You'll take care of me when I get older, right? ME: [Thinking about when I was little and he used to scrub the shampoo into my hair too hard] We'll see.",2.58
6155,"What are you going to do in the weekend? ""I'm going to buy glasses."" ""And then what?"" ""Then I'll see.""",3.0
3329,Did you hear about the gay French baker? Faguette,2.55
446,Why did the scarecrow win a Nobel prize?.. Because he was outstanding in his field ROFL,2.85
6849,"My kid wanted to get a pet spider from the pet store, but they are really expensive. I can get a really cheap one off the web.",3.05
859,*spelling words to my wife so our child doesn't get scared* I heard on the news that the S-U-N is going to explode and kill us all tonight,2.93
4627,"The 2020 election results are in! Oh sorry, this is just for us Russians.",2.4
2532,I don't think the lady who just shushed a baby in the library knows how babies work,2.88
3366,Whats the difference between a cow and 9/11? Americans can't milk a cow for 14 years,1.9
7654,"A Down Syndrome walks into a bar. Barman says ""Why the mong face?""",1.0
385,"What's the difference between a police officer and a bullet? When a bullet kills someone else, you know it's been fired",2.35
