id_a,id_b,text_a,text_b,rating_a,rating_b,expected
35,146,"An explorer in the deepest Amazon suddenly finds himself surrounded by a bloodthirsty group of natives. Upon surveying the situation, he says quietly to himself, """"Oh God, I'm screwed.""""   The sky darkens and a voice booms out, """"No, you are NOT screwed. Pick up that stone at your feet and bash in the head of the chief standing in front of you.""""   So with the stone he bashes the life out of the chief. Standing above the lifeless body, breathing heavily looking at 100 angry natives...   The voice booms out again, """"Okay ..... NOW you're screwed.",America: 8:00 - Welcome to work! 12:00 - Lunch break 17:00 - The work day is over Japan: 8:00 - Are you already at work? 12:00 - Continue your work 17:00 - The work day is over 20:00 - Please finish your work Romania: 8:00 - Has anyone come to work? 12:00 - Did someone start working? 16:00 - Is anyone at work?,3.4691,0.205,A
44,137,"A horse walks into a bar. Bartender says: """"So, why the long face?","Deep within a forest, a little turtle began to climb a tree. After hours of effort, he reached the top, jumped into the air waving his front legs and crashed to the ground. After recovering, he slowly climbed the tree again, jumped, and fell to the ground. The turtle tried again and again, while a couple of birds sitting on a branch watched his sad efforts. Finally, the female bird turned to her mate. """"Dear,"""" she chirped, """"I think it's time to tell him he's adopted.",-0.8796,1.7137,B
150,8,"In an interview with David Letterman, Carter passed along an anecdote of a translation problem in Japan. Carter was speaking at a business lunch in Tokyo, where he decided to open his speech with a brief joke. He told the joke, then waited for the translator to announce the Japanese version. Even though the story was quite short, Carter was surprised by how quickly the interpreter was able to re-tell it. Even more impressive was the reaction from the crowd. Carter thought the story was cute, but not outright hilarious, yet the crowd broke right up. Carter was very flattered. After the speech, Carter wanted to meet the translator to ask him how he told the joke. Perhaps there is better way to tell the joke? When Carter asked how the joke had been told in Japanese, the translator responded, """"I told them, 'President Carter has told a very funny joke. Please laugh now.'",Q. Did you hear about the dyslexic devil worshiper?   A. He sold his soul to Santa.,2.7705,-0.7048,A
141,135,Jack Bauer can get McDonald's breakfast after 10:30.,"A guy walked past a mental hospital and heard a moaning voice: """"13...13...13...13..."""" The man looked over to the hospital and saw a hole in the wall. He looked through the hole and got poked in the eye. The moaning voice then groaned: """"14...14...14...14...",-2.7388,1.9265,B
68,44,"A man piloting a hot air balloon discovers he has wandered off course and is hopelessly lost. He descends to a lower altitude and locates a man down on the ground. He lowers the balloon further and shouts """"Excuse me, can you tell me where I am?""""  The man below says: """"Yes, you're in a hot air balloon, about 30 feet above this field.""""  """"You must work in Information Technology,"""" says the balloonist.  """"Yes I do,"""" replies the man. """"And how did you know that?""""  """"Well,"""" says the balloonist, """"what you told me is technically correct, but of no use to anyone.""""  The man below says, """"You must work in management.""""  """"I do,"""" replies the balloonist, """"how did you know?""""  """"Well,"""" says the man, """"you don't know where you are, or where you're going, but you expect my immediate help. You're in the same position you were before we met, but now it's my fault!","A horse walks into a bar. Bartender says: """"So, why the long face?",3.2979,-0.8796,A
58,39,"How many teddybears does it take to change a lightbulb?  It takes only one teddybear, but it takes a whole lot of lightbulbs.",What is the difference between men and women:   A woman wants one man to satisfy her every need. A man wants every woman to satisfy his one need.,-1.2742,1.7051,B
23,7,Q: What is the Australian word for a boomerang that won't    come back?   A: A stick,How many feminists does it take to screw in a light bulb? That's not funny.,1.0795,-1.9438,A
64,119,What is the rallying cry of the International Dyslexic Pride movement? Dyslexics Untie!,"One day the first grade teacher was reading the story of the Three Little Pigs to her class. She came to the part of the story where the first pig was trying to accumulate the building materials for his home. She read, """"...and so the pig went up to the man with the wheelbarrow full of straw and said, 'Pardon me sir, but may I have some of that straw to build my house?'"""" The teacher paused then asked the class, """"And what do you think that man said?"""" One little boy raised his hand and said, """"I know...he said, 'Holy Shit! A talking pig!'",-0.0642,2.7341,B
89,46,"A radio conversation of a US naval  ship with Canadian authorities ...   Americans: Please divert your course 15 degrees to the North to avoid a collision.  Canadians: Recommend you divert YOUR course 15 degrees to the South to  avoid a collision.  Americans: This is the Captain of a US Navy ship.  I say again, divert  YOUR course.  Canadians: No.  I say again, you divert YOUR course.  Americans: This is the aircraft carrier USS LINCOLN, the second largest ship in the United States' Atlantic Fleet. We are accompanied by three destroyers, three cruisers and numerous support vessels. I demand that you change your course 15 degrees north, that's ONE FIVE DEGREES NORTH, or counter-measures will be undertaken to ensure the safety of this ship.  Canadians: This is a lighthouse.  Your call.","A couple has been married for 75 years. For the husband's 95th birthday, his wife decides to surprise him by hiring a prostitute. That day, the doorbell rings. The husband uses his walker to get to the door and opens it.  A 21-year-old in a latex outfit smiles and says, """"Hi, I here to give you super sex!""""  The old man says, """"I'll take the soup.",3.561,1.3077,A
75,133,Q: Do you know the difference between an intelligent male and the Sasquatch?  A: There have been actual reported sightings of the Sasquatch.,"The new employee stood before the paper shredder looking confused. """"Need some help?"""" a secretary, walking by, asked. """"Yes,"""" he replied, """"how does this thing work?"""" """"Simple,"""" she said, taking the fat report from his hand and feeding it into the shredder.""""Thanks, but where do the copies come out?",-0.8116,1.4319,B
