id,edit1,edit2,mean_grade1,mean_grade2,label,expected,prediction,is_correct,raw_response
704-2704,barbers,Bungle,1.4,0.4,1,A,B,False,<answer>B</answer>
704-14395,barbers,Witch,1.4,1.2,1,A,B,False,<answer>B</answer>
2704-14395,Bungle,Witch,0.4,1.2,2,B,B,True,<answer>B</answer>
11098-2118,elephant,man,1.4,0.8,1,A,A,True,<answer>A</answer>
10186-2118,woman,man,1.4,0.8,1,A,B,False,<answer>B</answer>
3903-950,potato,Cookie,0.6,1.0,2,B,B,True,<answer>B</answer>
3903-13427,potato,year,0.6,1.8,2,B,B,True,<answer>B</answer>
950-13427,Cookie,year,1.0,1.8,2,B,B,True,<answer>B</answer>
5817-12404,flashing,clowning,1.6,0.8,1,A,B,False,<answer>B</answer>
5817-6525,flashing,bakery,1.6,0.6,1,A,B,False,<answer>B</answer>
12404-6525,clowning,bakery,0.8,0.6,1,A,B,False,<answer>B</answer>
7193-7948,sing,government,0.8,1.2,2,B,A,False,<answer>A</answer>
7193-5883,sing,ottoman,0.8,1.2,2,B,B,True,<answer>B</answer>
13473-5658,face,beauty,1.6,1.2,1,A,B,False,<answer>B</answer>
11043-8045,donkey,nose,1.4,1.2,1,A,B,False,<answer>B</answer>
11043-7488,donkey,excitement,1.4,0.2,1,A,B,False,<answer>B</answer>
8045-7488,nose,excitement,1.2,0.2,1,A,A,True,<answer>A</answer>
12008-6044,agriculture,bike,0.0,0.2,2,B,B,True,<answer>B</answer>
12008-3155,agriculture,hammer,0.0,0.4,2,B,B,True,<answer>B</answer>
6044-3155,bike,hammer,0.2,0.4,2,B,B,True,<answer>B</answer>
11269-7244,breathing,Keep,1.0,0.0,1,A,B,False,<answer>B</answer>
11269-14988,breathing,Bagpipe,1.0,1.8,2,B,B,True,<answer>B</answer>
7244-14988,Keep,Bagpipe,0.0,1.8,2,B,B,True,<answer>B</answer>
14293-9017,frosting,bird,1.0,0.2,1,A,B,False,<answer>B</answer>
9017-7190,bird,milk,0.2,1.0,2,B,A,False,<answer>A</answer>
13878-5176,face,building,1.0,0.4,1,A,A,True,<answer>A</answer>
13878-8549,face,toupee,1.0,1.6,2,B,B,True,<answer>B</answer>
5176-8549,building,toupee,0.4,1.6,2,B,B,True,<answer>B</answer>
11135-4909,landfill,apocalypse,0.6,0.8,2,B,B,True,<answer>B</answer>
11135-2380,landfill,show,0.6,0.0,1,A,B,False,<answer>B</answer>
4909-2380,apocalypse,show,0.8,0.0,1,A,B,False,<answer>B</answer>
10218-2481,Spanking,Deporting,2.0,1.8,1,A,B,False,<answer>B</answer>
10218-12975,Spanking,Marrying,2.0,1.0,1,A,B,False,<answer>B</answer>
2481-12975,Deporting,Marrying,1.8,1.0,1,A,B,False,<answer>B</answer>
5815-12341,caterpillars,babysitting,0.6,1.8,2,B,B,True,<answer>B</answer>
974-12341,stealing,babysitting,0.6,1.8,2,B,B,True,<answer>B</answer>
8810-5723,students,pets,0.4,0.8,2,B,B,True,<answer>B</answer>
8810-2758,students,puppys,0.4,0.8,2,B,B,True,<answer>B</answer>
3480-8315,goose,Fishing,0.2,0.7,2,B,B,True,<answer>B</answer>
12833-15052,bears,socks,0.6,0.7,2,B,B,True,<answer>B</answer>
14929-8673,deity,cougar,0.8,0.6,1,A,B,False,<answer>B</answer>
8673-529,cougar,tweet,0.6,0.8,2,B,B,True,<answer>B</answer>
5448-694,gnomes,triathlete,0.4,0.2,1,A,B,False,<answer>B</answer>
5448-6607,gnomes,quarterback,0.4,0.8,2,B,B,True,<answer>B</answer>
694-6607,triathlete,quarterback,0.2,0.8,2,B,B,True,<answer>B</answer>
4859-6963,kangaroo,boasting,2.6,0.2,1,A,A,True,<answer>A</answer>
4859-624,kangaroo,chop,2.6,0.2,1,A,A,True,<answer>A</answer>
1482-3948,tweeting,delay,0.4,1.2,2,B,A,False,<answer>A</answer>
1482-4678,tweeting,labyrinth,0.4,0.2,1,A,B,False,<answer>B</answer>
3948-4678,delay,labyrinth,1.2,0.2,1,A,B,False,<answer>B</answer>
6253-1028,bakery,kittens,1.2,0.6,1,A,B,False,<answer>B</answer>
6253-11397,bakery,bought,1.2,0.0,1,A,B,False,<answer>B</answer>
1028-11397,kittens,bought,0.6,0.0,1,A,B,False,<answer>B</answer>
202-13374,Loss,Dream,0.4,0.8,2,B,B,True,<answer>B</answer>
13374-7601,Dream,slush,0.8,0.4,1,A,B,False,<answer>B</answer>
2950-2269,elbows,users,0.2,0.8,2,B,B,True,<answer>B</answer>
2269-1625,users,elbows,0.8,0.2,1,A,B,False,<answer>B</answer>
13617-6468,elf,shape,0.8,0.0,1,A,B,False,<answer>B</answer>
13617-8602,elf,car,0.8,0.4,1,A,B,False,<answer>B</answer>
6468-8602,shape,car,0.0,0.4,2,B,B,True,<answer>B</answer>
1774-4071,Gnomes,throw,1.4,0.0,1,A,A,True,<answer>A</answer>
1774-5152,Gnomes,lizard,1.4,0.6,1,A,B,False,<answer>B</answer>
4071-5152,throw,lizard,0.0,0.6,2,B,B,True,<answer>B</answer>
7223-13620,operating,children,0.0,0.4,2,B,B,True,<answer>B</answer>
3952-13620,Parachute,children,0.0,0.4,2,B,A,False,<answer>A</answer>
7957-9932,hemorrhoids,Hunger,2.2,0.8,1,A,A,True,<answer>A</answer>
7957-5940,hemorrhoids,Booze,2.2,2.6,2,B,A,False,<answer>A</answer>
9932-5940,Hunger,Booze,0.8,2.6,2,B,B,True,<answer>B</answer>
2887-13418,Clown,gymnastics,0.4,0.2,1,A,B,False,<answer>B</answer>
2887-10571,Clown,twerk,0.4,2.0,2,B,B,True,<answer>B</answer>
13418-10571,gymnastics,twerk,0.2,2.0,2,B,B,True,<answer>B</answer>
10151-4989,names,comforters,0.6,0.4,1,A,B,False,<answer>B</answer>
10151-5170,names,fairies,0.6,1.4,2,B,B,True,<answer>B</answer>
4989-5170,comforters,fairies,0.4,1.4,2,B,B,True,<answer>B</answer>
11310-1471,checkup,heart,0.8,1.0,2,B,B,True,<answer>B</answer>
13360-1471,lungs,heart,0.8,1.0,2,B,B,True,<answer>B</answer>
11173-4736,haunted,skydiving,0.4,1.2,2,B,B,True,<answer>B</answer>
11173-14797,haunted,elves,0.4,1.4,2,B,B,True,<answer>B</answer>
4736-14797,skydiving,elves,1.2,1.4,2,B,B,True,<answer>B</answer>
2545-4258,feathers,children,1.0,0.8,1,A,B,False,<answer>B</answer>
2545-13346,feathers,kabobs,1.0,1.8,2,B,B,True,<answer>B</answer>
