id_a,id_b,text_a,text_b,rating_a,rating_b,expected
5315,4035,What do you call a lesbian dinosaur?  A lick-a-lot-a-puss.,That magic feeling on Christmas morning after all gifts are opened and your family room looks like an episode of Hoarders.,2.45,2.39,A
4,4002,Told my mom I hit 1200 Twitter followers. She pointed out how my brother owns a house and I'm wanted by several collection agencies. Oh ma!,"A Jehovah's Witness knocked on my door today so I invited him in, gave him tea and biscuits and said to him, ""So, what's this Jehovah's Witness thing about then?"" ""I haven't got a fucking clue"" He replied. ""I've never got this far before!""",2.11,2.85,B
4803,4966,Black Friday? Isn't that the day when you can buy slaves at a discount?,"I have never worked out the moral to Humpty Dumpty. Is it, 'don't let horses perform medical procedures?'",1.7,1.63,A
1335,1434,Australians don't have sex... Australians mate. haha,Cop: Are you drunk? You were driving in the middle of 2 lanes Me: No. I was pretending my car was Pacman eating the dotted line.,2.65,2.1,A
3228,1880,"I asked a Chinese girl for her number. She said, ""Sex! Sex! Sex! Free Sex tonight!"" I said, ""Wow!"" Her friend said, ""She means 666-3629.""",Tell me more about these male enhancement pills... Will they help me chop wood better? How about pelts? Will I know how to make pelts?,2.3,2.21,A
2198,2548,What does an 80 year old lesbian taste like? Depends,The Chinese coined the phrase 'it's not you.. it's me' while looking at their family albums.,2.25,2.39,B
5506,1717,Why can't you keep Jews in jail? They eat lox!,"interviewer: i think that's it, do you have any questions for me me: do you think i could kick bob the builder's ass",1.9,1.79,A
4436,1335,What do you call a bear in the rain? A drizzly bear. corny,Australians don't have sex... Australians mate. haha,2.2,2.65,B
7214,6812,You ever stick your dick in pecan pie? It's fucking nuts.,[first date] Her: I like sensitive men Me: (trying to impress) That offends me,2.9,2.74,A
2785,6031,"""I'm collecting for the flood victims in India"" said the woman stood at my front door. So I gave her my inflatable crocodile.",They said the term 'Chinese virus' is racist... Then they said the term 'Kung Flu' is racist... So from now on I'm calling it 'Wu Ping Cough',1.58,2.1,B
1880,4154,Tell me more about these male enhancement pills... Will they help me chop wood better? How about pelts? Will I know how to make pelts?,What did the sheep say when he saw his girlfriend? Baaaaaeeeee!,2.21,1.9,A
1556,7927,"Me: Choose a mate who loves & respects their mom, but isn't overly dependent on her. Lady: These are 4th graders- Me: THEY NEED TO KNOW THIS",Several toilets were stolen last night. Police say they have nothing to go on.,2.24,3.2,B
4966,7759,"I have never worked out the moral to Humpty Dumpty. Is it, 'don't let horses perform medical procedures?'",I have just released my own fragrance. The people sitting near me on the bus don't look like they appreciate it.,1.63,3.29,B
6676,2178,"I don't want to think I'm getting old or anything, but all the noises I used to make during sex, I now make getting out of bed.",I left Stephen Hawking like 8 voice mail messages before I realised he'd picked up every time.,3.05,2.32,A
2710,7490,"What did the french say to the Nazis when they invaded ? Table for 50,000?",*I blow out the birthday candles* FRIEND: What did you wish for? ME: [After wishing everyone on earth would learn to mind their own business] Nothing. Wishing is stupid.,1.37,2.33,B
6570,1458,What's the difference.... Between my girlfriend and santa? Some people actually believe santa exist.,"What lies on its back, 100 feet in the air? A dead centipede.",2.63,2.8,B
5558,387,"I told my wife I lost 10 lbs in one hour. ""No way. That's impossible!"" she said. ""Trust me,"" I said, ""I have no idea where our baby is.""",Lonely and awkward people are waiting to talk to you on Twitter right now,2.6,2.42,A
6941,2100,"By law, you are allowed to hit your child as long as you don't leave a red mark. Which is why I only hit black kids.",Why did the man commit suicide? To get to the other side,1.58,1.65,B
7275,106,"My gay friend told me he's spending this 4/20 with his boyfriend. He said, ""After all, the Bible says 'Two men who lie together shall be stoned'.""",My girlfriend's father is pretty religious and said we couldn't make love... which is rather disappointing because he's extremely handsome.,2.55,3.25,B
5064,4692,"I don't have unrealistic expectations for life, I just wish everything went right for me all the time, that's all.",90% of dogs in Korea are inbred. ...like in a sandwich or something.,1.9,2.5,B
2992,1468,"All these people getting emails from the Prince of Nigeria, I got one from an Egyptian Pharaoh. It turned out to just be a pyramid scheme.",customer: i'd like to return this boomerang me: oh it does that for you,3.2,2.3,A
895,4629,What's the difference between pussy and mashed potatoes Mashed potatoes don't make their own gravy,"I tried to change my password to Beefstew1, but they said it wasn't stroganoff",1.4,2.25,B
2959,2203,[At work] Me: I could use a little help here. Brain: No. I don't feel like being productive right now. [At home in bed] Me: I'm exhausted. Brain: IT'S TIME TO SOLVE ALL THE WORLDS PROBLEMS!!!,"Honey, I made the news! Apparently that old lady I fought at the library wasn't a ghost",2.05,2.45,B
5351,5,"What's the difference between Jesus, and a picture of Jesus? It only takes one nail to hang the picture. haha",Roses are dead. Love is fake. Weddings are basically funerals with cake.,1.8,2.78,B
2183,1761,I'm a hypochondriac I mean I'm self-diagnosing here but I know there's something wrong,I'm leaving for two week and willl not have any internet service. Get me too 1000 followers by the next two weeks and ill save relationships,1.94,0.45,A
6168,3580,I think my girlfriend has a blind fetish. Last night she said we should stop seeing each other.,"How many hookers does it take to screw in a light bulb? I don't know, but my basement's still dark",2.85,2.6,A
1387,4651,Halloween gives us something the movies never could - drunk Iron Man puking on the curb.,How many dead prostitutes does it take to change a light bulb? None. Dead prostitutes can't screw,2.32,2.35,B
3482,1844,What do you call a crocodile that loves guacamole? A guacodile.,"When I cook, I only use the freshest herbs and vegetables to f*** up the recipe.",1.85,2.24,B
6011,761,"Do you know how many 3rd party sects the catholic church is protecting? None, catholics aren't allowed to have protected sects.",What do you call an african american in a 3 piece suit? The defendant.,2.25,1.55,A
966,6234,DRINKING A CUP OF HOT COFFEE: Delicious! DRINKING A CUP OF ICED COFFEE: Fantastic! DRINKING A CUP OF COFFEE AT ANY TEMPERATURE IN BETWEEN: The devil is alive and he's winning.,"Everyone loves when pro athletes dump a jug of Gatorade on their coaches head to celebrate, but I do it to my life coach after a good week and suddenly I'm making 'bad decisions'",2.05,2.32,B
4827,517,My wife was excited when I blindfolded her in the bedroom... until I spun her around 10 times and let her know we're playing pin the tail on the donkey.,I'm one of those lucky people who can eat whatever they want and get a huge gut,2.25,2.5,B
5220,7987,Why would anyone ever think gay people tear apart the fabric of society? They love fabric.,What kind of shoes do bakers wear? Loafers.,2.55,2.5,A
5607,3228,I just got body-shamed by my jeans.,"I asked a Chinese girl for her number. She said, ""Sex! Sex! Sex! Free Sex tonight!"" I said, ""Wow!"" Her friend said, ""She means 666-3629.""",2.33,2.3,A
7447,5099,"As I was entering a singles bar last night the bouncer started patting me down. He said, ""Have you got anything on you that you shouldn't have?"" ""Yes,"" I replied. ""My wedding ring!""",I am giving up drinking for a month Sorry that came out wrong I am giving up. Drinking for a month,2.0,2.33,B
58,4145,"Ten years after my death, my best friend finally opens the package I left him in my will. He's confused by the empty box. He wonders if there's been a mistake. Then, he smells the fart. Laughing, my ghost can now rest in peace.",There's only 1 rule in learning English. Their our know rules.,2.5,2.79,B
3670,7402,"What's the process for applying to a job at Hooters? They just give you a bra and say ""Here, fill this out.""",I love visiting NYC because it's the only time I can enjoy the smell of hot pretzels without worrying that it's an aneurysm.,2.35,1.79,A
1893,7338,"Reading a Chinese newspaper is like looking at 1,000 douchebag tattoos at once.",Why are muslim charities the worst to donate to? Because they are for prophet.,1.9,1.68,A
2266,5279,[scale says I've gained 5 pounds] Me: It's probably just what I'm wearing. Wife: You're naked. Me: Wife: Me: It's a heavy deodorant.,I've got 99 problems and bottles of beer on the wall are all of them.,2.45,2.1,A
5660,747,"Sneaky? Dude, I got two handfuls of soup into a movie theater once.",I recently went on Shark Tank and did terribly because I thought it was Dancing With the Stars.,2.0,1.89,A
1087,4377,Dyslexic Devil Worshipper Worships Santa,Most quotes attributed to Mark Twain were actually said by someone else' - Mark Twain,2.38,3.22,B
2213,5420,"My wife blocked me on Facebook because I post too many bird puns. Well, toucan play at that game.",I like in the movies when someone is robbing a gas station and they grab a handful of chocolate bars while the clerk gets the money. I can relate to that part.,2.74,2.23,A
6427,517,"A fire broke out at a Weight Watchers meeting last night. Members could be heard screaming, ""Walk for your lives!""",I'm one of those lucky people who can eat whatever they want and get a huge gut,1.95,2.5,B
5103,147,What is the most popular kids show in the Middle East? Dora the EXPLODER,"This one time, I shot a defenseless black guy and got arrested.. For impersonating an officer of the law.",2.26,2.22,A
3333,611,I can't believe no one has come up with a cure for anorexia yet. I thought it would be a piece of cake!,"A priest and a rabbi are walking down the street... An they see a young boy. The priests says, ""you want to screw him?"" The rabbi says, ""out of what?""",1.95,3.05,B
7644,4279,"Did you know you can tell the gender of an ant by throwing it in water? If it sinks, girl ant. If it floats, buoyant.",Alright Fortnite queers. We're all back to Level 1!!!!!!!!!,2.6,1.31,A
3348,1880,Did you hear about the gay midget? He came out of the cabinet.,Tell me more about these male enhancement pills... Will they help me chop wood better? How about pelts? Will I know how to make pelts?,2.25,2.21,A
4400,1156,Why can't two Asians have a white baby? Because two wongs don't make a white,"How many dead whores does it take to change a light bulb? More than three, I still can't reach it.",1.95,0.95,A
6672,1152,And then one day you realize you're older and fatter than old fat Elvis.,"Mechanic: you need a new carburetor Me: you can call it a buretor, I know lots about cars, I'm like you",1.69,1.84,B
7917,1424,What do you call an apology written in dots and dashes? Re-morse code.,"If an Islamic man is murdered, what do you call it? A Muhommid-cide.",2.9,1.32,A
4421,3348,"""I take it you are from America Madam?"" ""How rude!!, just because I'm a little overweight you assume I'm American?"" ""No Madam, this is a supermarket, but unlike in your country, we don't sell guns.""",Did you hear about the gay midget? He came out of the cabinet.,1.94,2.25,B
106,4061,My girlfriend's father is pretty religious and said we couldn't make love... which is rather disappointing because he's extremely handsome.,[Deathbed Confession] I wish I'd listened to my girlfriend more often. Especially as I crossed the road after she yelled BUS.,3.25,2.4,A
2768,3853,"If you say the word 'lozenge' 50 times out loud, it starts sounding really weird. Also, your family leaves the dining table.",Don't trust people who don't put the lids on things properly,2.17,2.5,B
7179,6941,"I like doing the washing up, it's meditative and helps me make important decisions. For example, last night I decided my wife is lazy so I'm going to divorce her.","By law, you are allowed to hit your child as long as you don't leave a red mark. Which is why I only hit black kids.",1.94,1.58,A
525,1251,"Good thing girls started uploading pictures next to a pool with the caption ""Summer is finally here!"" or we wouldn't have  known it's summer.",Where do Muslim hipsters shop for clothes? Turban Outfitters!,2.53,1.74,A
