id_a,id_b,rating_a,rating_b,expected,prediction,is_correct,raw_response
7236,1361,2.6,1.3,A,A,True,<answer>A</answer>
1248,392,3.39,2.39,A,B,False,<answer>B</answer>
7999,6688,1.0,2.88,B,A,False,<answer>A</answer>
7233,2625,1.58,2.72,B,B,True,<answer>B</answer>
3693,4503,2.63,0.82,A,A,True,<answer>A</answer>
1291,4766,1.95,3.0,B,B,True,<answer>B</answer>
5037,1676,1.22,2.4,B,A,False,<answer>A</answer>
3036,3831,3.05,1.29,A,B,False,<answer>B</answer>
4921,2184,2.25,3.26,B,A,False,<answer>A</answer>
2289,7098,1.79,2.8,B,B,True,<answer>B</answer>
3048,419,0.68,2.65,B,A,False,<answer>A</answer>
3560,5324,2.7,1.61,A,B,False,<answer>B</answer>
4174,7518,3.25,1.92,A,A,True,<answer>A</answer>
6603,5250,3.3,1.0,A,B,False,<answer>B</answer>
7160,3483,0.56,1.71,B,B,True,<answer>B</answer>
6527,6755,1.1,2.7,B,B,True,<answer>B</answer>
5078,7916,3.0,1.15,A,B,False,<answer>B</answer>
7024,3336,1.06,2.5,B,A,False,<answer>A</answer>
6021,2118,2.85,0.7,A,B,False,<answer>B</answer>
2377,6724,3.75,2.72,A,A,True,<answer>A</answer>
2048,2626,2.95,1.58,A,A,True,<answer>A</answer>
1496,4825,1.35,3.15,B,B,True,<answer>B</answer>
755,3200,1.45,2.78,B,A,False,<answer>A</answer>
5640,2800,1.12,2.3,B,B,True,<answer>B</answer>
1626,5995,2.6,1.32,A,A,True,<answer>A</answer>
278,7807,3.05,2.0,A,B,False,<answer>B</answer>
2526,5406,1.7,3.0,B,B,True,<answer>B</answer>
6190,707,0.95,2.68,B,A,False,<answer>A</answer>
5625,1883,3.0,0.7,A,A,True,<answer>A</answer>
6133,3320,1.11,2.68,B,A,False,<answer>A</answer>
5188,30,2.45,1.21,A,B,False,<answer>B</answer>
3783,6036,1.42,2.76,B,A,False,<answer>A</answer>
766,7684,2.72,1.58,A,A,True,<answer>A</answer>
7058,6656,1.85,3.21,B,B,True,<answer>B</answer>
1079,5590,1.05,2.33,B,B,True,<answer>B</answer>
3459,4196,1.65,2.65,B,B,True,<answer>B</answer>
3980,1755,2.5,1.29,A,B,False,I find <answer>B</answer> to be funnier.
122,949,0.56,2.47,B,A,False,<answer>A</answer>
1326,7472,2.6,1.1,A,A,True,<answer>A</answer>
4627,895,2.4,1.4,A,B,False,<answer>B</answer>
2115,5817,0.7,2.84,B,B,True,<answer>B</answer>
7022,4014,2.63,1.4,A,A,True,<answer>A</answer>
7345,1431,1.21,2.25,B,B,True,<answer>B</answer>
6457,3334,2.6,1.11,A,A,True,<answer>A</answer>
5861,7321,2.32,0.3,A,B,False,<answer>B</answer>
4091,4845,1.85,2.85,B,A,False,<answer>A</answer>
7434,5398,2.85,1.75,A,B,False,<answer>B</answer>
2384,4394,1.53,2.6,B,B,True,<answer>B</answer>
3468,1547,2.95,4.0,B,B,True,<answer>B</answer>
503,3529,1.68,2.7,B,B,True,<answer>B</answer>
7658,5126,2.42,3.6,B,B,True,<answer>B</answer>
6775,6271,1.55,3.05,B,A,False,<answer>A</answer>
951,6291,3.06,2.0,A,B,False,<answer>B</answer>
1977,78,1.58,2.8,B,B,True,<answer>B</answer>
5660,1427,2.0,3.0,B,B,True,<answer>B</answer>
5529,6176,1.16,2.3,B,A,False,<answer>A</answer>
7755,262,3.35,1.88,A,B,False,<answer>B</answer>
5171,381,2.63,1.6,A,B,False,<answer>B</answer>
6121,1823,3.0,1.68,A,B,False,<answer>B</answer>
894,531,3.25,2.2,A,B,False,<answer>B</answer>
1144,3262,3.05,1.95,A,B,False,<answer>B</answer>
5988,3244,3.25,1.95,A,B,False,<answer>B</answer>
6447,2418,3.25,1.28,A,B,False,<answer>B</answer>
7380,3674,3.6,2.05,A,B,False,<answer>B</answer>
1131,2536,1.0,2.11,B,A,False,<answer>A</answer>
3676,7820,3.55,2.44,A,B,False,<answer>B</answer>
7098,178,2.8,1.79,A,B,False,<answer>B</answer>
6333,6219,2.6,1.43,A,B,False,<answer>B</answer>
855,1531,1.95,2.95,B,B,True,<answer>B</answer>
1997,7468,1.25,2.67,B,B,True,<answer>B</answer>
3300,1126,1.29,2.44,B,B,True,<answer>B</answer>
1072,3512,1.37,2.6,B,B,True,<answer>B</answer>
2100,997,1.65,3.05,B,B,True,<answer>B</answer>
7882,5986,3.05,1.95,A,B,False,<answer>B</answer>
3818,3752,1.2,2.71,B,A,False,<answer>A</answer>
5811,6530,2.06,1.0,A,B,False,<answer>B</answer>
7772,2412,2.32,1.24,A,A,True,<answer>A</answer>
4607,6227,3.47,1.8,A,B,False,<answer>B</answer>
4364,2159,1.65,3.05,B,B,True,<answer>B</answer>
7305,175,2.17,3.25,B,A,False,<answer>A</answer>
6725,3553,2.65,1.21,A,A,True,<answer>A</answer>
5023,7213,2.89,1.6,A,B,False,<answer>B</answer>
4262,2507,3.1,1.95,A,B,False,<answer>B</answer>
7832,6648,3.6,2.47,A,B,False,<answer>B</answer>
381,3976,1.6,2.74,B,A,False,<answer>A</answer>
122,6166,0.56,2.05,B,A,False,<answer>A</answer>
2117,7253,0.64,3.2,B,A,False,<answer>A</answer>
3323,6060,3.26,2.25,A,B,False,<answer>B</answer>
7589,4766,2.0,3.0,B,A,False,<answer>A</answer>
110,7506,2.74,1.63,A,A,True,<answer>A</answer>
2524,3330,2.45,1.3,A,B,False,<answer>B</answer>
1838,1296,3.4,1.55,A,B,False,<answer>B</answer>
7688,4846,3.33,1.85,A,A,True,<answer>A</answer>
3910,1197,2.53,1.32,A,A,True,<answer>A</answer>
7056,6640,3.05,0.68,A,A,True,<answer>A</answer>
4857,1201,1.19,3.05,B,B,True,<answer>B</answer>
177,3510,3.0,1.85,A,A,True,<answer>A</answer>
6033,4901,2.1,3.1,B,B,True,<answer>B</answer>
