id_a,id_b,rating_a,rating_b,expected,prediction,is_correct,raw_response
35,146,3.4691,0.205,A,B,False,<answer>B</answer>
44,137,-0.8796,1.7137,B,B,True,<answer>B</answer>
150,8,2.7705,-0.7048,A,B,False,<answer>B</answer>
141,135,-2.7388,1.9265,B,B,True,<answer>B</answer>
68,44,3.2979,-0.8796,A,B,False,<answer>B</answer>
58,39,-1.2742,1.7051,B,A,False,<answer>A</answer>
23,7,1.0795,-1.9438,A,B,False,<answer>B</answer>
64,119,-0.0642,2.7341,B,B,True,<answer>B</answer>
89,46,3.561,1.3077,A,B,False,<answer>B</answer>
75,133,-0.8116,1.4319,B,B,True,<answer>B</answer>
126,44,3.107,-0.8796,A,A,True,<answer>A</answer>
7,30,-1.9438,1.0531,B,B,True,<answer>B</answer>
125,75,2.8201,-0.8116,A,B,False,<answer>B</answer>
100,108,1.0409,3.2463,B,B,True,<answer>B</answer>
134,43,3.1538,0.3014,A,B,False,<answer>B</answer>
57,47,-0.3931,2.9259,B,A,False,<answer>A</answer>
117,58,3.2127,-1.2742,A,A,True,<answer>A</answer>
141,25,-2.7388,1.1958,B,B,True,<answer>B</answer>
86,75,1.4858,-0.8116,A,B,False,<answer>B</answer>
74,61,-0.6075,1.8912,B,A,False,<answer>A</answer>
132,8,3.2287,-0.7048,A,B,False,<answer>B</answer>
146,89,0.205,3.561,B,B,True,<answer>B</answer>
63,75,2.9096,-0.8116,A,A,True,<answer>A</answer>
33,117,-0.1921,3.2127,B,B,True,<answer>B</answer>
140,15,0.5753,-1.4361,A,B,False,<answer>B</answer>
13,93,-0.6712,2.7578,B,B,True,<answer>B</answer>
43,5,0.3014,-2.0346,A,B,False,<answer>B</answer>
146,26,0.205,2.5194,B,B,True,<answer>B</answer>
128,41,2.568,0.1034,A,B,False,<answer>B</answer>
58,92,-1.2742,1.9789,B,B,True,<answer>B</answer>
63,5,2.9096,-2.0346,A,B,False,<answer>B</answer>
7,103,-1.9438,0.8182,B,B,True,<answer>B</answer>
21,74,3.0111,-0.6075,A,B,False,<answer>B</answer>
44,49,-0.8796,3.0086,B,B,True,<answer>B</answer>
49,131,3.0086,0.7387,A,B,False,<answer>B</answer>
8,144,-0.7048,1.8201,B,B,True,<answer>B</answer>
106,5,3.2891,-2.0346,A,B,False,<answer>B</answer>
101,92,-0.2429,1.9789,B,B,True,<answer>B</answer>
31,101,2.3726,-0.2429,A,B,False,<answer>B</answer>
18,48,-0.1343,2.7303,B,B,True,<answer>B</answer>
93,140,2.7578,0.5753,A,B,False,<answer>B</answer>
15,98,-1.4361,2.2649,B,B,True,<answer>B</answer>
